ts,symbol,funding_pct_8h,annual_funding_pct,mark_price,hedgeable,go
2026-07-25T12:36:16+00:00,XRPUSD,0.01,10.95,1.09013578,True,False
2026-07-25T12:36:16+00:00,SOLUSD,0.01,10.95,73.88899277,True,False
2026-07-25T12:36:16+00:00,ETHUSD,0.00361,3.95,1857.04969605,True,False
2026-07-25T12:36:16+00:00,BTCUSD,0.00973,10.65,64037.45818949,True,False
2026-07-25T12:46:50+00:00,XRPUSD,0.01,10.95,1.09065529,True,False
2026-07-25T12:46:50+00:00,SOLUSD,0.01,10.95,73.91041604,True,False
2026-07-25T12:46:50+00:00,ETHUSD,0.00389,4.26,1857.42581789,True,False
2026-07-25T12:46:50+00:00,BTCUSD,0.00983,10.77,64075.16198823,True,False
2026-07-25T12:57:23+00:00,XRPUSD,0.01,10.95,1.09126796,True,False
2026-07-25T12:57:23+00:00,SOLUSD,0.01,10.95,73.94684753,True,False
2026-07-25T12:57:23+00:00,ETHUSD,0.00409,4.48,1859.00666043,True,False
2026-07-25T12:57:23+00:00,BTCUSD,0.00988,10.82,64086.23559768,True,False
2026-07-25T13:07:56+00:00,XRPUSD,0.01,10.95,1.09176104,True,False
2026-07-25T13:07:56+00:00,SOLUSD,0.01,10.95,73.97850581,True,False
2026-07-25T13:07:56+00:00,ETHUSD,0.00425,4.65,1861.47189974,True,False
2026-07-25T13:07:56+00:00,BTCUSD,0.00983,10.76,64096.01944109,True,False
2026-07-25T13:18:30+00:00,XRPUSD,0.01,10.95,1.09126757,True,False
2026-07-25T13:18:30+00:00,SOLUSD,0.01,10.95,73.97647572,True,False
2026-07-25T13:18:30+00:00,ETHUSD,0.00415,4.55,1861.87004823,True,False
2026-07-25T13:18:30+00:00,BTCUSD,0.00979,10.72,64096.74657113,True,False
2026-07-25T13:29:04+00:00,XRPUSD,0.01,10.95,1.0917532,True,False
2026-07-25T13:29:04+00:00,SOLUSD,0.01,10.95,73.98284307,True,False
2026-07-25T13:29:04+00:00,ETHUSD,0.00418,4.57,1863.0894647,True,False
2026-07-25T13:29:04+00:00,BTCUSD,0.00985,10.79,64104.64277035,True,False
2026-07-25T13:39:36+00:00,XRPUSD,0.01,10.95,1.09163165,True,False
2026-07-25T13:39:36+00:00,SOLUSD,0.01,10.95,74.0069048,True,False
2026-07-25T13:39:36+00:00,ETHUSD,0.00406,4.44,1863.1154858,True,False
2026-07-25T13:39:36+00:00,BTCUSD,0.0099,10.84,64117.05575527,True,False
2026-07-25T13:50:10+00:00,XRPUSD,0.01,10.95,1.09324727,True,False
2026-07-25T13:50:10+00:00,SOLUSD,0.01,10.95,74.14194396,True,False
2026-07-25T13:50:10+00:00,ETHUSD,0.00391,4.28,1869.58392611,True,False
2026-07-25T13:50:10+00:00,BTCUSD,0.01,10.95,64213.93478598,True,False
2026-07-25T14:00:44+00:00,XRPUSD,0.01,10.95,1.09139941,True,False
2026-07-25T14:00:44+00:00,SOLUSD,0.01,10.95,73.90548611,True,False
2026-07-25T14:00:44+00:00,ETHUSD,0.00359,3.93,1865.35811743,True,False
2026-07-25T14:00:44+00:00,BTCUSD,0.00996,10.91,64123.74114778,True,False
2026-07-25T14:11:16+00:00,XRPUSD,0.01,10.95,1.09120406,True,False
2026-07-25T14:11:16+00:00,SOLUSD,0.01,10.95,73.79380583,True,False
2026-07-25T14:11:16+00:00,ETHUSD,0.00343,3.76,1865.50636083,True,False
2026-07-25T14:11:16+00:00,BTCUSD,0.01,10.95,64135.70401851,True,False
2026-07-25T14:21:49+00:00,XRPUSD,0.01,10.95,1.09126486,True,False
2026-07-25T14:21:49+00:00,SOLUSD,0.01,10.95,73.84387189,True,False
2026-07-25T14:21:49+00:00,ETHUSD,0.00326,3.57,1865.23142341,True,False
2026-07-25T14:21:49+00:00,BTCUSD,0.01,10.95,64125.48018869,True,False
2026-07-25T14:32:22+00:00,XRPUSD,0.01,10.95,1.092135,True,False
2026-07-25T14:32:22+00:00,SOLUSD,0.01,10.95,73.89428354,True,False
2026-07-25T14:32:22+00:00,ETHUSD,0.00315,3.45,1866.70860035,True,False
2026-07-25T14:32:22+00:00,BTCUSD,0.00993,10.88,64146.72058177,True,False
2026-07-25T14:42:56+00:00,XRPUSD,0.01,10.95,1.0921505,True,False
2026-07-25T14:42:56+00:00,SOLUSD,0.01,10.95,73.9349015,True,False
2026-07-25T14:42:56+00:00,ETHUSD,0.00306,3.35,1866.34901488,True,False
2026-07-25T14:42:56+00:00,BTCUSD,0.00981,10.75,64153.94113306,True,False
2026-07-25T14:53:30+00:00,XRPUSD,0.01,10.95,1.09377979,True,False
2026-07-25T14:53:30+00:00,SOLUSD,0.01,10.95,73.99870947,True,False
2026-07-25T14:53:30+00:00,ETHUSD,0.00293,3.21,1867.67894361,True,False
2026-07-25T14:53:30+00:00,BTCUSD,0.00965,10.57,64171.71867703,True,False
