ts,inst_id,ccy,interval_h,funding_rate,cap,floor,at_cap_live,at_cap_sett,borrowable,borrow_rate,borrow_quota,perp_last,spot_last
2026-07-23T17:13:17+00:00,BARD-USDT-SWAP,BARD,2.0,-0.001897882599591,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1274,0.1289
2026-07-23T17:13:17+00:00,O-USDT-SWAP,O,2.0,-0.00217480754757,0.01,-0.01,False,False,False,,0.0,0.5633,
2026-07-23T17:23:46+00:00,BARD-USDT-SWAP,BARD,2.0,-0.001945316381184,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1275,0.1287
2026-07-23T17:23:46+00:00,O-USDT-SWAP,O,2.0,-0.0020926607072195,0.01,-0.01,False,False,False,,0.0,0.5706,
2026-07-23T17:34:15+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0018731576550715,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1268,0.1277
2026-07-23T17:34:15+00:00,O-USDT-SWAP,O,2.0,-0.002036192660472,0.01,-0.01,False,False,False,,0.0,0.5706,
2026-07-23T17:55:23+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0016772048526571,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1269,0.1282
2026-07-23T17:55:23+00:00,O-USDT-SWAP,O,2.0,-0.0020106870059824,0.01,-0.01,False,False,False,,0.0,0.5707,
2026-07-23T18:05:49+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0016111689782103,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1256,0.1267
2026-07-23T18:05:49+00:00,O-USDT-SWAP,O,2.0,-0.0019669749263792,0.01,-0.01,False,False,False,,0.0,0.5644,
2026-07-23T18:16:15+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0015193928370331,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1261,0.127
2026-07-23T18:16:15+00:00,O-USDT-SWAP,O,2.0,-0.0019036554613463,0.01,-0.01,False,False,False,,0.0,0.5605,
2026-07-23T18:26:41+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0014285180052539,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1264,0.1278
2026-07-23T18:26:41+00:00,O-USDT-SWAP,O,2.0,-0.0018070384179488,0.01,-0.01,False,False,False,,0.0,0.5604,
2026-07-23T18:37:08+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0013917434732549,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1266,0.1277
2026-07-23T18:37:08+00:00,O-USDT-SWAP,O,2.0,-0.0017146165699486,0.01,-0.01,False,False,False,,0.0,0.5615,
2026-07-23T18:47:35+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0013167421644413,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1268,0.1278
2026-07-23T18:47:35+00:00,O-USDT-SWAP,O,2.0,-0.0015835365030339,0.01,-0.01,False,False,False,,0.0,0.565,
2026-07-23T18:58:02+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0013056049755897,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1268,0.1281
2026-07-23T18:58:02+00:00,O-USDT-SWAP,O,2.0,-0.0014202592203945,0.01,-0.01,False,False,False,,0.0,0.568,
2026-07-23T19:08:29+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0013239900996743,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1267,0.128
2026-07-23T19:08:29+00:00,O-USDT-SWAP,O,2.0,-0.0013249824173971,0.01,-0.01,False,False,False,,0.0,0.5659,
2026-07-23T19:18:56+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0013524148966831,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1266,0.1275
2026-07-23T19:18:56+00:00,O-USDT-SWAP,O,2.0,-0.0012639912323642,0.01,-0.01,False,False,False,,0.0,0.5644,
