ts,n_symbols,n_1h,n_2h,n_4h,n_8h,n_other,n_pinned_live,n_at_cap_sett,n_events
2026-07-19T12:48:24+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T13:08:58+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T13:19:06+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T13:29:15+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T13:39:23+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T13:49:31+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T13:59:39+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T14:09:48+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T14:19:56+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T14:30:04+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T14:40:13+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T14:50:22+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T15:00:31+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T15:10:39+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T15:20:48+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T15:30:57+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T15:41:05+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T15:51:14+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T16:01:22+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T16:11:30+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T16:21:38+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T16:31:46+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T16:41:55+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T16:52:03+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T17:02:11+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T17:12:19+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T17:22:28+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T17:32:36+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T17:42:45+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T18:03:23+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T18:13:33+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T18:23:43+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T18:33:53+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T18:44:03+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T18:54:13+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T19:04:23+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T19:14:34+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T19:24:43+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T19:34:53+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T19:45:03+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T19:55:13+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T20:05:23+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T20:15:33+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T20:25:44+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T20:35:54+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T20:46:04+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T20:56:15+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T21:06:25+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T21:16:35+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T21:26:45+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T21:36:55+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T21:47:06+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T21:57:16+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T22:07:26+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T22:17:37+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T22:27:47+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T22:37:58+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T22:58:38+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T23:08:48+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T23:18:59+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T23:29:10+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T23:39:20+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T23:49:31+00:00,512,1,0,225,286,0,0,0,0
2026-07-19T23:59:42+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T00:09:52+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T00:20:03+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T00:30:14+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T00:40:25+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T00:50:37+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T01:00:48+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T01:10:59+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T01:21:10+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T01:31:22+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T01:41:33+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T01:51:45+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T02:01:56+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T02:12:08+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T02:22:19+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T02:32:31+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T02:42:42+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T02:52:54+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T03:03:05+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T03:13:16+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T03:23:27+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T03:33:39+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T03:54:15+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T04:04:24+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T04:14:34+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T04:24:44+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T04:34:53+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T04:45:03+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T04:55:12+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T05:05:22+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T05:11:28+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T05:11:59+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T05:12:38+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T05:25:40+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T05:35:50+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T05:46:00+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T05:56:11+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T06:06:21+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T06:16:32+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T06:26:42+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T06:36:52+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T06:47:02+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T06:57:12+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T07:07:23+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T07:17:32+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T07:27:42+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T07:37:52+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T07:48:02+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T07:58:12+00:00,512,1,0,225,286,0,0,0,0
2026-07-20T08:08:22+00:00,511,0,0,225,286,0,0,0,1
2026-07-20T08:18:32+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T08:28:42+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T08:49:19+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T08:59:29+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T09:09:39+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T09:19:50+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T09:30:00+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T09:40:10+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T09:50:20+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T10:00:29+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T10:10:40+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T10:20:50+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T10:31:00+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T10:41:10+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T10:51:19+00:00,511,0,0,225,286,0,0,0,0
2026-07-20T11:01:30+00:00,512,0,0,226,286,0,0,0,1
