ts,symbol,price,funding,next_funding_ms,open_interest,oi_value,turnover_24h,chg_24h
2026-07-27T00:55:40+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T00:55:40+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T00:55:40+00:00,EURUSD,1.1405,0.0,0,0.0,0.0,0.0,0.0026373626373628056
2026-07-27T00:55:40+00:00,GOLD,4104.6,0.0,0,0.0,0.0,49575358.800000004,0.00830303625822948
2026-07-27T01:06:17+00:00,BTCUSDT,65127.0,6.3765355112635564e-06,0,2092.7946,136297433.9142,179836142.4669,0.010629713540858399
2026-07-27T01:06:17+00:00,ETHUSDT,1945.0,2.2172454082133677e-05,0,26790.728,52107965.96,75211234.175,0.03551083426502699
2026-07-27T01:06:17+00:00,SOLUSDT,76.37,3.647668332023885e-05,0,210985.82,16112987.073400002,29896535.6431,0.021945671082563845
2026-07-27T01:06:17+00:00,XRPUSDT,1.10887,2.8291267197349557e-05,0,12072281.0,13386590.23247,20125823.06063,0.009210466439135478
2026-07-27T01:06:17+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
2026-07-27T01:06:17+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T01:06:17+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
2026-07-27T01:06:17+00:00,RELIANCE,1280.5,0.0,0,0.0,0.0,12570668500.0,0.006524131425876378
2026-07-27T01:06:17+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T01:06:17+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T01:06:17+00:00,EURUSD,1.1408,0.0,0,0.0,0.0,0.0,0.0029010989010989086
2026-07-27T01:06:17+00:00,GOLD,4107.1,0.0,0,0.0,0.0,52455881.2,0.008917166158985967
2026-07-27T01:16:59+00:00,BTCUSDT,64953.0,6.393617357813521e-06,0,2101.5356,136501041.82680002,181496966.26950002,0.008023465143708552
2026-07-27T01:16:59+00:00,ETHUSDT,1940.3,2.2226162546899965e-05,0,26818.033,52035029.4299,75356587.51879999,0.03295357751277672
2026-07-27T01:16:59+00:00,SOLUSDT,76.14,3.658687030689048e-05,0,211012.22,16066470.4308,29920466.2644,0.01914067728550406
2026-07-27T01:16:59+00:00,XRPUSDT,1.10597,2.8365450651577355e-05,0,12063944.0,13342360.14568,20149035.921129998,0.006213949087468196
2026-07-27T01:16:59+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
2026-07-27T01:16:59+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T01:16:59+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
2026-07-27T01:16:59+00:00,RELIANCE,1280.5,0.0,0,0.0,0.0,12570668500.0,0.006524131425876378
2026-07-27T01:16:59+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T01:16:59+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T01:16:59+00:00,EURUSD,1.1409,0.0,0,0.0,0.0,0.0,0.002989010989010943
2026-07-27T01:16:59+00:00,GOLD,4111.8,0.0,0,0.0,0.0,57293821.2,0.010071730372408272
2026-07-27T01:27:36+00:00,BTCUSDT,64987.0,6.390272335114125e-06,0,2099.743,136455998.341,181960389.6422,0.00886425732737206
2026-07-27T01:27:36+00:00,ETHUSDT,1940.0,2.2229599582345362e-05,0,26837.477,52064705.379999995,75700553.76,0.0328488526859394
2026-07-27T01:27:36+00:00,SOLUSDT,76.18,3.6567659558501453e-05,0,211080.34,16080100.3012,30014962.660800003,0.02063236870310825
2026-07-27T01:27:36+00:00,XRPUSDT,1.10487,2.839369107417615e-05,0,12057400.0,13321859.538,20150292.01848,0.00522231219237046
2026-07-27T01:27:36+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
2026-07-27T01:27:36+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T01:27:36+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
2026-07-27T01:27:36+00:00,RELIANCE,1280.5,0.0,0,0.0,0.0,12570668500.0,0.006524131425876378
2026-07-27T01:27:36+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T01:27:36+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T01:27:36+00:00,EURUSD,1.1409,0.0,0,0.0,0.0,0.0,0.002989010989010943
2026-07-27T01:27:36+00:00,GOLD,4107.1,0.0,0,0.0,0.0,61047934.400000006,0.008917166158985967
2026-07-27T01:38:14+00:00,BTCUSDT,64959.0,6.393026805247335e-06,0,2103.8388,136663264.6092,184283570.7267,0.007960152685969613
2026-07-27T01:38:14+00:00,ETHUSDT,1939.1,2.2239917069645716e-05,0,26822.179,52010887.2989,76040858.28009999,0.03280958721704397
2026-07-27T01:38:14+00:00,SOLUSDT,76.14,3.658687030689048e-05,0,212413.05,16173129.626999998,30559577.049,0.01900428265524634
2026-07-27T01:38:14+00:00,XRPUSDT,1.10365,2.842507811092738e-05,0,12059601.0,13309578.64365,20330482.3318,0.004176296107582855
2026-07-27T01:38:14+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
