symbol,announce_ts,delist_ts,notice_h,pre_abn_pct,post_abn_pct,incremental_pct,pre_turnover_usd,post_turnover_usd,bars_pre,bars_post
GNOUSDT,2026-06-01T09:05:23+00:00,2026-06-03T09:00:00+00:00,47.9,-1.463,5.541,7.004,101557.0,338603.0,48,47
REQUSDT,2026-06-01T09:05:34+00:00,2026-06-03T09:00:00+00:00,47.9,0.112,0.535,0.422,364317.0,335954.0,48,48
DOGUSDT,2026-05-26T09:05:12+00:00,2026-05-28T09:00:00+00:00,47.9,-6.174,-3.786,2.389,509901.0,517946.0,48,47
HPOS10IUSDT,2026-05-26T09:05:02+00:00,2026-05-28T09:00:00+00:00,47.9,-5.373,-0.028,5.344,186710.0,357112.0,48,47
1000000CHEEMSUSDT,2026-05-26T09:04:07+00:00,2026-05-28T09:00:00+00:00,47.9,-7.796,-7.243,0.553,146935.0,83064.0,48,48
OXTUSDT,2026-05-12T10:04:48+00:00,2026-05-14T10:00:00+00:00,47.9,3.319,6.28,2.96,742909.0,291471.0,48,47
DEGENUSDT,2026-05-12T10:04:27+00:00,2026-05-14T10:00:00+00:00,47.9,10.43,-3.665,-14.095,867735.0,438333.0,48,47
10000QUBICUSDT,2026-05-12T10:04:17+00:00,2026-05-14T10:00:00+00:00,47.9,1.343,-4.291,-5.633,248571.0,203950.0,48,47
SYNUSDT,2026-05-06T09:03:04+00:00,2026-05-08T09:00:00+00:00,47.9,-0.269,6.745,7.014,92681.0,158772.0,48,47
CLOUDUSDT,2026-05-06T09:02:54+00:00,2026-05-08T09:00:00+00:00,48.0,-5.869,-7.064,-1.195,163680.0,249444.0,48,47
BSUUSDT,2026-04-30T04:01:42+00:00,2026-04-30T09:00:00+00:00,5.0,-1.223,-30.451,-29.229,326670.0,132383.0,48,4
TRUUSDT,2026-04-28T09:05:59+00:00,2026-04-30T09:00:00+00:00,47.9,-12.027,-34.977,-22.95,2007750.0,414755.0,48,47
RDNTUSDT,2026-04-28T09:05:29+00:00,2026-04-30T09:00:00+00:00,47.9,-1.494,1.447,2.942,533210.0,594937.0,48,47
FIOUSDT,2026-04-28T09:03:48+00:00,2026-04-30T09:00:00+00:00,47.9,-10.81,-18.806,-7.996,11061835.0,843953.0,48,47
YZYUSDT,2026-04-28T09:03:05+00:00,2026-04-30T09:00:00+00:00,47.9,2.892,1.862,-1.03,260169.0,275035.0,48,47
CTKUSDT,2026-04-20T10:00:17+00:00,2026-04-22T10:00:00+00:00,48.0,-3.098,-1.35,1.749,71131.0,107303.0,48,47
PROMUSDT,2026-04-20T10:00:28+00:00,2026-04-22T10:00:00+00:00,48.0,38.146,-0.48,-38.626,37680700.0,2970563.0,48,48
LISTAUSDT,2026-04-14T09:00:34+00:00,2026-04-16T09:00:00+00:00,48.0,0.973,4.708,3.735,252991.0,179143.0,48,47
HIPPOUSDT,2026-04-14T09:00:23+00:00,2026-04-16T09:00:00+00:00,48.0,-12.154,-8.422,3.732,980428.0,278752.0,48,48
CAMPUSDT,2026-04-14T09:00:13+00:00,2026-04-16T09:00:00+00:00,48.0,-10.159,-3.37,6.789,848885.0,293658.0,48,48
RLSUSDT,2026-04-14T09:00:02+00:00,2026-04-16T09:00:00+00:00,48.0,13.254,1.364,-11.891,1650063.0,467320.0,48,47
ONEUSDT,2026-04-07T06:05:14+00:00,2026-04-09T06:00:00+00:00,47.9,-3.652,-3.557,0.095,348133.0,278512.0,48,48
SFPUSDT,2026-04-07T06:04:39+00:00,2026-04-09T06:00:00+00:00,47.9,-4.542,-3.441,1.101,135269.0,130772.0,48,47
